ID,RA_1,Dec_1,PhotoFlag,FWHM,r_petro,er_petro
SPLUS.STRIPE82-0001.23982.griz,359.8123,-0.5074,3,5.05,15.51,0.02
SPLUS.STRIPE82-0001.25219.griz,359.6235,-0.5815,0,5.06,16.88,0.02
SPLUS.STRIPE82-0001.26561.griz,0.0777,-0.6514,0,13.13,16.56,0.02
SPLUS.STRIPE82-0001.27137.griz,0.6447,-0.6823,3,4.91,15.7,0.02
SPLUS.STRIPE82-0001.27193.griz,359.2962,-0.6376,3,52.33,15.3,0.02
SPLUS.STRIPE82-0001.27368.griz,359.3115,-0.6434,3,6.58,15.06,0.02
SPLUS.STRIPE82-0002.01039.griz,0.1756,0.0267,0,3.49,16.4,0.02
SPLUS.STRIPE82-0002.01936.griz,0.2617,0.07,2,6.08,16.97,0.02
SPLUS.STRIPE82-0002.02035.griz,0.193,0.0653,2,4.0,16.07,0.02
SPLUS.STRIPE82-0002.02102.griz,0.1882,0.0759,3,3.53,16.94,0.02
SPLUS.STRIPE82-0002.03333.griz,0.4967,0.1144,3,34.16,16.5,0.03
SPLUS.STRIPE82-0002.03514.griz,359.4811,0.1356,2,4.06,16.56,0.02
SPLUS.STRIPE82-0002.03589.griz,0.6168,0.1396,0,8.01,16.49,0.02
SPLUS.STRIPE82-0002.03719.griz,0.4762,0.1258,3,3.25,16.74,0.04
SPLUS.STRIPE82-0002.04693.griz,359.7435,0.1708,2,13.93,16.2,0.02
SPLUS.STRIPE82-0002.05076.griz,0.1081,0.1975,3,59.53,16.72,0.03
SPLUS.STRIPE82-0002.05409.griz,0.0873,0.2151,0,9.39,16.6,0.02
SPLUS.STRIPE82-0002.05455.griz,0.4473,0.2027,3,102.12,12.95,0.02
SPLUS.STRIPE82-0002.06350.griz,359.8096,0.2349,3,4.55,16.83,0.03
SPLUS.STRIPE82-0002.06573.griz,359.5948,0.2681,0,21.18,16.8,0.02
SPLUS.STRIPE82-0002.06705.griz,359.8061,0.2341,3,13.83,16.28,0.02
SPLUS.STRIPE82-0002.07138.griz,0.3942,0.2744,2,3.17,15.35,0.02
SPLUS.STRIPE82-0002.07293.griz,359.7307,0.2926,0,3.74,16.96,0.02
SPLUS.STRIPE82-0002.07316.griz,0.4132,0.2321,3,121.51,11.78,0.02
SPLUS.STRIPE82-0002.08293.griz,0.1721,0.3065,3,73.95,16.74,0.04
SPLUS.STRIPE82-0002.08624.griz,359.8824,0.3387,2,4.16,16.62,0.02
SPLUS.STRIPE82-0002.09835.griz,0.6612,0.3862,3,5.63,15.91,0.02
SPLUS.STRIPE82-0002.10075.griz,359.7955,0.3983,2,4.07,16.71,0.02
SPLUS.STRIPE82-0002.10438.griz,0.544,0.4111,3,49.6,12.43,0.02
SPLUS.STRIPE82-0002.10584.griz,0.6508,0.4212,2,3.82,16.37,0.02
SPLUS.STRIPE82-0002.10805.griz,0.5787,0.4243,2,3.65,15.85,0.02
SPLUS.STRIPE82-0002.10837.griz,359.3406,0.435,0,5.79,16.63,0.02
SPLUS.STRIPE82-0002.10862.griz,0.5684,0.4347,0,4.9,16.49,0.02
SPLUS.STRIPE82-0002.11585.griz,0.4781,0.4337,3,127.68,12.97,0.02
SPLUS.STRIPE82-0002.12169.griz,0.7036,0.4762,0,3.44,16.1,0.02
SPLUS.STRIPE82-0002.12222.griz,359.8396,0.4587,2,5.15,15.23,0.02
SPLUS.STRIPE82-0002.12235.griz,359.6165,0.4891,2,6.7,16.43,0.02
SPLUS.STRIPE82-0002.12318.griz,0.6515,0.4958,2,3.38,16.94,0.02
SPLUS.STRIPE82-0002.12730.griz,359.73,0.5048,2,3.68,16.17,0.02
SPLUS.STRIPE82-0002.13747.griz,0.4809,0.5463,2,6.27,16.64,0.02
SPLUS.STRIPE82-0002.14076.griz,359.9407,0.5612,0,6.51,16.64,0.02
SPLUS.STRIPE82-0002.14161.griz,359.9739,0.5562,2,4.44,15.49,0.02
SPLUS.STRIPE82-0002.14560.griz,0.6795,0.5721,2,4.48,16.12,0.02
SPLUS.STRIPE82-0002.14565.griz,359.6384,0.5816,0,8.82,16.79,0.02
SPLUS.STRIPE82-0002.14682.griz,0.4566,0.5670000000000001,2,3.96,15.12,0.02
SPLUS.STRIPE82-0002.14926.griz,359.7154,0.5931,0,11.53,16.97,0.02
SPLUS.STRIPE82-0002.15039.griz,359.5942,0.596,0,11.69,16.65,0.02
SPLUS.STRIPE82-0002.15179.griz,0.1096,0.5975,0,6.14,16.77,0.02
SPLUS.STRIPE82-0002.15375.griz,359.4508,0.6142,0,14.95,16.79,0.02
SPLUS.STRIPE82-0002.15847.griz,0.0421,0.6343,0,3.72,16.84,0.02
SPLUS.STRIPE82-0002.16038.griz,0.515,0.6319,2,4.9,15.75,0.02
SPLUS.STRIPE82-0002.16265.griz,359.92199999999997,0.6371,2,4.45,15.62,0.02
SPLUS.STRIPE82-0002.16544.griz,0.5931,0.6611,2,3.64,16.98,0.02
SPLUS.STRIPE82-0002.16546.griz,0.3771,0.6584,0,8.7,16.46,0.02
SPLUS.STRIPE82-0002.16807.griz,359.9672,0.6716,0,5.53,16.9,0.02
SPLUS.STRIPE82-0002.16968.griz,359.9848,0.6751,3,4.46,15.95,0.02
SPLUS.STRIPE82-0002.16998.griz,359.6151,0.6695,3,5.37,16.25,0.02
SPLUS.STRIPE82-0002.17033.griz,0.0615,0.6746,2,9.7,16.67,0.02
SPLUS.STRIPE82-0002.17118.griz,359.4322,0.6552,0,11.29,14.55,0.02
SPLUS.STRIPE82-0002.17212.griz,0.1839,0.6731,0,7.18,15.37,0.02
SPLUS.STRIPE82-0002.17282.griz,359.5093,0.6909,0,3.37,16.69,0.02
SPLUS.STRIPE82-0002.17340.griz,359.6259,0.6812,0,6.55,16.03,0.02
SPLUS.STRIPE82-0002.17876.griz,359.9292,0.7076,0,3.63,16.61,0.02
SPLUS.STRIPE82-0002.18012.griz,359.5751,0.7015,2,6.45,16.09,0.02
SPLUS.STRIPE82-0002.18076.griz,359.4212,0.6933,0,6.16,15.67,0.02
SPLUS.STRIPE82-0002.18192.griz,359.9888,0.7151,0,4.72,16.63,0.02
SPLUS.STRIPE82-0002.18308.griz,359.6053,0.7243,0,3.16,16.77,0.02
SPLUS.STRIPE82-0002.18569.griz,0.3514,0.7304,0,5.91,16.76,0.02
